1: P1: 4d,Js | P2: Kc,7c | P3: 8c,Td | P4: 5h,7h | P5: 7d,Ah | P6: 9c,Kh | CC: 2c,Ac,Qd,9d,5s
21: P1: 6c,2s | P2: 2h,7h | P3: 3s,Jd | P4: Td,4s | P5: 2d,6d | P6: 8s,Kc | CC: 7s,5c,Qs,7c,Qc
22: P1: 3h,8h | P2: 4c,8s | P3: Ac,Ts | P4: 4h,6c | P5: 7d,7c | P6: Ks,Qc | CC: 6h,Js,3c,Ad,7s
23: P1: Qc,7d | P2: 2s,7h | P3: 8d,Tc | P4: 9c,8c | P5: 4d,2d | P6: Kh,6d | CC: Qd,As,3h,8h,9d
24: P1: Ac,Qs | P2: 4c,6c | P3: Td,4s | P4: Tc,Ts | P5: 5d,6h | P6: Th,Jh | CC: 3s,9h,8c,Kh,Kd
25: P1: 5d,8h | P2: Js,6h | P3: 8c,2h | P4: 7s,9c | P5: Qh,2s | P6: 7h,Ad | CC: 5h,3c,6c,Jc,Qc
26: P1: 7d,2h | P2: 2c,2s | P3: Ts,Js | P4: 8s,9s | P5: 9c,Qc | P6: 3s,7c | CC: Tc,3h,7h,4d,7s
27: P1: 4h,Qc | P2: 7h,Ts | P3: 6h,9c | P4: 2s,Qh | P5: Kh,2h | P6: 2c,9s | CC: 8d,7d,5h,Js,Tc
28: P1: 7s,Ks | P2: Kd,2h | P3: 9d,9c | P4: Jd,Kh | P5: Ts,8s | P6: Td,Ah | CC: 2d,6h,5h,2c,8h
29: P1: 6s,3d | P2: 7c,Ah | P3: Jd,5s | P4: 5h,Tc | P5: 8s,7s | P6: Ad,4c | CC: Qc,2s,9c,9h,8d
30: P1: 4h,2d | P2: 3c,Ad | P3: 8d,Kd | P4: Jc,Ts | P5: 4s,Ah | P6: Qs,4c | CC: 6s,8c,Kc,9c,2h
31: P1: Th,Kd | P2: 4s,2s | P3: 2d,Tc | P4: Ac,7h | P5: 6d,As | P6: Qc,7d | CC: 9d,Js,Jh,7s,8c
32: P1: Kc,9d | P2: 9h,2c | P3: 4c,Qs | P4: Jc,6s | P5: 3h,9c | P6: 9s,Ac | CC: 6c,Qh,7d,Ts,Kh
33: P1: 8s,9s | P2: Jc,Ad | P3: Kd,Kc | P4: 3d,Tc | P5: Th,8h | P6: 4c,6c | CC: 7s,Jd,Qd,2h,8c
34: P1: 4d,9h | P2: Kc,3c | P3: 8d,6d | P4: 2s,5h | P5: Jd,5d | P6: 7h,3d | CC: Qs,3h,Qc,7s,Qh
35: P1: 3c,3h | P2: Qh,7h | P3: 2c,2s | P4: 6h,Ad | P5: 4c,5s | P6: Jc,9c | CC: 7c,Jh,Jd,Th,2d
36: P1: Ac,4d | P2: 5s,3d | P3: 3h,3c | P4: 7s,4h | P5: 4s,Ks | P6: 2s,Tc | CC: Th,Jc,8s,7h,Qh
37: P1: 8c,2h | P2: As,9h | P3: 5h,Jh | P4: 7c,3c | P5: 8s,2d | P6: 4h,3h | CC: 9c,7d,6d,Qc,7h
38: P1: Ks,9s | P2: Jd,Ad | P3: 3c,7h | P4: Jc,2d | P5: 4c,3h | P6: Kd,5c | CC: 5h,9c,Kc,2h,8d
39: P1: Kh,2h | P2: 4c,7d | P3: 5d,Qs | P4: 5h,9h | P5: 3c,9s | P6: 8s,5s | CC: Th,Js,Ts,Ah,Ks
40: P1: 7d,5s | P2: 4h,Kh | P3: 4s,Jh | P4: 9c,5c | P5: Tc,Kd | P6: Kc,Jd | CC: 5h,Js,Jc,6c,Ts
41: P1: Td,6c | P2: 4h,Jd | P3: Qh,Kd | P4: 5s,5d | P5: As,7c | P6: 8s,Tc | CC: Th,7d,8h,2s,7h
42: P1: Ad,5s | P2: Qd,3h | P3: 3c,2s | P4: 9s,5h | P5: 4c,4s | P6: Ts,3d | CC: 4h,Kc,7c,4d,9c
43: P1: 8d,Jh | P2: 6h,5d | P3: Jc,8h | P4: 4s,Ac | P5: 3s,4h | P6: As,2d | CC: 9s,3c,8s,7h,Ks
44: P1: Ks,Jd | P2: Ac,5d | P3: Ad,2s | P4: 4d,Kd | P5: 3s,3d | P6: Qd,7d | CC: 8c,Ts,9d,2h,6c
45: P1: Jd,9h | P2: Th,7d | P3: 7s,8c | P4: Kc,7h | P5: 8s,Ts | P6: 4c,2c | CC: 3d,Jh,Qs,6d,7c
46: P1: Ks,Th | P2: 7c,Jc | P3: Jd,Ac | P4: 5d,Ah | P5: Qs,2s | P6: 2c,9c | CC: 3h,Ts,3c,3s,Kh
47: P1: Jd,Qd | P2: 9s,7c | P3: 9d,8c | P4: 5c,5s | P5: Qh,Ac | P6: As,Ad | CC: Qc,3d,5h,7h,Td
48: P1: 6c,Ah | P2: Kc,2c | P3: 3h,7c | P4: 9s,Jc | P5: 9h,Ad | P6: 2d,4c | CC: 6s,Kd,Js,9d,4s
49: P1: 9s,Qd | P2: 7h,Qs | P3: 5h,7c | P4: 2h,7s | P5: Ac,8h | P6: 8d,8c | CC: Ts,Jc,As,Js,Kd
50: P1: 4c,4h | P2: Jd,Th | P3: 3h,Ks | P4: 3s,8h | P5: 7h,Kc | P6: Ts,9d | CC: 6s,3d,Jc,2d,9h
51: P1: Jh,Qc | P2: 3h,Jc | P3: Js,Jd | P4: Tc,2s | P5: 6h,Th | P6: 9c,9s | CC: 2c,6d,7s,3d,Qs
52: P1: 9h,3d | P2: 2d,9s | P3: 7h,4c | P4: Qs,6c | P5: Jd,3s | P6: 9d,Qd | CC: 6s,2s,Kd,5d,4s
53: P1: 8h,9c | P2: Js,Ac | P3: Kc,Ts | P4: 4h,Kd | P5: 3s,Qc | P6: Td,5s | CC: 9s,9h,3h,4d,6c
54: P1: 7d,3d | P2: Qs,3s | P3: 4c,5c | P4: 6s,6h | P5: 8d,9s | P6: 8h,5s | CC: Ts,3h,Tc,4d,Kh
55: P1: 5c,Qc | P2: 5s,7c | P3: Kh,Jh | P4: 6c,Ad | P5: 6s,4c | P6: Qd,6h | CC: 9d,7h,2c,2h,5h
56: P1: Jh,Ah | P2: 7c,Jd | P3: Ts,5s | P4: Qd,3c | P5: Ks,Tc | P6: 9h,8s | CC: Jc,7s,4c,Qh,Th
57: P1: 6s,4h | P2: Jh,Jd | P3: 7h,4s | P4: Qh,3s | P5: 7s,Tc | P6: 8h,5c | CC: 9h,As,2c,9d,Qc
58: P1: 8h,Jh | P2: Qh,Jc | P3: Ac,5s | P4: Ts,Tc | P5: As,Kh | P6: 9c,2s | CC: Kc,7s,2c,9s,9h
59: P1: Kc,8d | P2: Js,2s | P3: Th,9h | P4: 2c,4d | P5: 6h,9c | P6: 4c,2h | CC: 5s,Ts,Ks,8h,3d
60: P1: 2s,7h | P2: 6h,2d | P3: Jd,5h | P4: 9s,4c | P5: Tc,Qh | P6: 3h,Jh | CC: Td,9d,Js,Kc,8h
61: P1: 6d,4d | P2: 2s,Qd | P3: 6c,6s | P4: Ts,5d | P5: Js,7c | P6: Ah,Qh | CC: Qs,2c,Ad,3s,9d
62: P1: Kh,Qs | P2: 8c,6c | P3: Ts,Td | P4: 2c,Kc | P5: Tc,4c | P6: 6d,8s | CC: 9c,Js,4d,7h,Jc
63: P1: 2h,7s | P2: Ac,As | P3: Js,5c | P4: Jc,8s | P5: 4h,Ad | P6: Tc,5d | CC: 7d,Td,Jh,6c,4c
64: P1: 8h,8d | P2: 3s,Kh | P3: 9d,Qs | P4: 4c,As | P5: 7s,7d | P6: 4h,Jh | CC: 7h,Ac,6d,5d,5s
65: P1: Kc,9d | P2: Ac,5s | P3: Td,8h | P4: 6s,Tc | P5: 3c,3d | P6: 9h,9c | CC: 5h,Ah,4c,5d,4h
66: P1: 8d,Jc | P2: 4d,Qs | P3: Kc,3h | P4: 7d,As | P5: 8s,Td | P6: 9s,Tc | CC: Qh,7s,2d,Jd,6h
67: P1: 2s,8s | P2: 4c,As | P3: 2h,Td | P4: 7s,3s | P5: Jh,Tc | P6: 9d,Jd | CC: 8c,Qh,2c,6d,Jc
68: P1: Tc,7h | P2: 6c,Kd | P3: 2h,4s | P4: Qs,Qd | P5: 7d,Ts | P6: 2c,Th | CC: 6s,Jd,4h,7c,6h
69: P1: 4h,7h | P2: 9c,9d | P3: 6s,8d | P4: Qh,3s | P5: 9s,7s | P6: Jd,5d | CC: 5c,Td,5h,3d,Kc
70: P1: 7c,6d | P2: 3d,4d | P3: 5h,9s | P4: Ac,Tc | P5: 4s,4h | P6: 2d,Ad | CC: 8s,As,Ts,8c,5c
71: P1: 2d,5d | P2: 2h,8h | P3: 5s,2c | P4: 2s,4d | P5: Jd,Kh | P6: 3s,Th | CC: 6h,5h,Jh,9s,Td
72: P1: 3s,As | P2: 6h,6c | P3: 8c,Ad | P4: Th,9s | P5: Qd,3h | P6: 6d,9c | CC: Ts,5h,3d,3c,Qh
73: P1: 9d,Ad | P2: Ts,Ks | P3: Ah,Tc | P4: Kd,Js | P5: 7d,7c | P6: 2h,7s | CC: Kc,2c,9s,Jc,8h
74: P1: Qd,Kh | P2: Jd,7d | P3: 3h,Th | P4: 6h,Qs | P5: 7c,As | P6: 2h,6d | CC: 8s,9d,6s,4h,8d
75: P1: 6h,2c | P2: 8s,6d | P3: 7c,Jh | P4: 4c,3c | P5: Th,Ac | P6: As,7d | CC: 4s,4h,8d,9d,7s
76: P1: 7s,Ts | P2: 8c,Qc | P3: 3c,2d | P4: Kh,7h | P5: 7d,Kd | P6: 2s,Ah | CC: Jc,Js,Ac,8s,4h
77: P1: 8s,6d | P2: 5c,Tc | P3: 7d,Qh | P4: Qc,Js | P5: 8d,6c | P6: 4h,8c | CC: 5h,Kc,As,Ts,7h
78: P1: 2h,9c | P2: 8s,Ts | P3: Jd,Td | P4: 7d,Ad | P5: Jh,3s | P6: 9h,9d | CC: 6h,Ac,Ah,4c,Qh
79: P1: 5s,Ac | P2: 8s,3c | P3: Ks,8h | P4: 2d,4h | P5: Ad,Jd | P6: 3h,4d | CC: 2c,Th,4c,3d,Qh
80: P1: Tc,5s | P2: Qd,2c | P3: 3d,Qs | P4: 3h,4h | P5: 8s,2h | P6: 9h,Js | CC: Kh,4c,2s,7d,7c
81: P1: Jc,As | P2: Kd,5s | P3: 6s,7d | P4: Ad,Th | P5: Jh,8s | P6: 6c,Ah | CC: Qd,6h,6d,Qh,9h
82: P1: 3h,Ah | P2: 5c,Qs | P3: 7c,7d | P4: 7h,2d | P5: 8c,2s | P6: Tc,3d | CC: Jh,Kc,9h,3s,2c
83: P1: Kc,2c | P2: 3c,Tc | P3: Jd,6s | P4: 5h,Kh | P5: Th,8d | P6: 7h,Qh | CC: 8s,7d,8h,6d,4h
84: P1: Jc,Ad | P2: 5h,8d | P3: 4c,6c | P4: 7d,5c | P5: 5d,Qc | P6: 7c,3h | CC: 3s,Kc,Kd,Th,5s
85: P1: 5d,3d | P2: 3s,Js | P3: 2c,9c | P4: 7s,4c | P5: 4d,Qh | P6: 6d,Ac | CC: 9s,Qd,Ad,Ts,9h
86: P1: 4s,3d | P2: 2s,Ks | P3: Qc,Js | P4: 8c,9c | P5: 3s,7h | P6: Td,8d | CC: 6c,9d,4c,Qs,Jh
87: P1: 5c,6h | P2: Js,Th | P3: 2d,9c | P4: 4s,3s | P5: 8s,3c | P6: Kd,7h | CC: 4c,5s,8h,8c,Qh
88: P1: Jh,Ac | P2: 2d,5c | P3: Ts,Th | P4: As,9d | P5: 6c,6d | P6: 2s,3c | CC: Js,3d,3h,Qs,3s
89: P1: Kd,9c | P2: 8c,3h | P3: As,Ad | P4: Qh,Kc | P5: Qd,5h | P6: 3s,7h | CC: Qs,5s,Qc,Th,7d
90: P1: 4s,3s | P2: Jd,6s | P3: Qs,5h | P4: 5s,3h | P5: 8s,Jh | P6: 7h,Kh | CC: 2h,9d,Ah,2s,9h
91: P1: Td,8h | P2: Qc,Ts | P3: 6s,Ks | P4: 9c,8c | P5: Jh,3c | P6: 7s,8s | CC: 4s,6c,7c,Ad,Kc
92: P1: 5s,6h | P2: 5d,3c | P3: 6c,8c | P4: 9c,7h | P5: 8d,2d | P6: 5c,Kc | CC: Js,8h,Kh,7d,6d
93: P1: 6d,7c | P2: Qc,2d | P3: 5s,2h | P4: Kd,5h | P5: 9d,5d | P6: Qs,Ah | CC: Jc,Kh,6s,4s,Ac
94: P1: 3s,4d | P2: Jd,6h | P3: 7h,5d | P4: 3c,6c | P5: As,Kh | P6: Qh,5c | CC: Ad,9c,2s,7c,6s
95: P1: Jd,6h | P2: Qh,8h | P3: Ad,5s | P4: 3h,2h | P5: 7h,4c | P6: Ts,9s | CC: 9h,Ah,Td,Th,2s
96: P1: 9s,Qs | P2: 9d,Qd | P3: Js,5c | P4: 6h,4c | P5: 3d,2d | P6: 4h,Ad | CC: 8c,Jd,2c,Kc,Qc
97: P1: Jh,Qh | P2: Ks,2c | P3: 5d,Js | P4: 8c,7c | P5: Kc,7h | P6: 8s,3s | CC: Qd,5c,Kd,6h,Ts
98: P1: 2c,6h | P2: 5d,6c | P3: Qc,7h | P4: Ah,3s | P5: 2h,6s | P6: 6d,2s | CC: Qd,Ac,4h,3h,Kc
99: P1: Ac,7s | P2: 9s,3h | P3: 8d,6h | P4: 9h,Jh | P5: Jd,7d | P6: 4c,3d | CC: Js,Tc,Qs,Ts,As
100: P1: 9d,Qd | P2: 6h,7c | P3: 8c,2s | P4: 4d,Ac | P5: 6c,9s | P6: 4c,6s | CC: 4s,8s,Kc,Td,Th
