1: P0: Kh,7d | P1: 4h,Ts | P2: As,9h | P3: 3d,8c | P4: 7h,6c | P5: 7s,Th | CC: 5d,4c,Ac,Ah,4s
24: P0: 3s,6h | P1: Tc,7s | P2: 5c,4c | P3: 5d,As | P4: Qh,8c | P5: Th,Qc | CC: Jc,6d,4d,Kh,9s
25: P0: 2s,9d | P1: 4s,Kc | P2: 4c,Js | P3: 2h,9c | P4: 3d,8s | P5: 5d,5c | CC: 9s,7c,7s,Ts,6c
26: P0: 6d,8d | P1: 7s,As | P2: 6s,4c | P3: 8s,2h | P4: Ad,3d | P5: 9c,3c | CC: 2c,Tc,5h,Td,7d
27: P0: Kd,Jc | P1: 9d,3c | P2: Qd,6c | P3: Jh,As | P4: 8c,2h | P5: 8s,Qc | CC: Tc,Ks,7c,Ah,5d
28: P0: 9c,5d | P1: Kd,4s | P2: 7s,2c | P3: 3s,3d | P4: Ad,Ah | P5: 8h,9d | CC: 6s,Th,9s,2d,5h
29: P0: 7s,Jh | P1: 5d,3s | P2: 4s,5s | P3: Th,3d | P4: Js,Ks | P5: 2d,4h | CC: Jd,9d,7c,Qs,9h
30: P0: 2h,3d | P1: Jd,6s | P2: 5h,5d | P3: Kc,Qc | P4: Ac,2s | P5: 7d,Qd | CC: 9d,9h,4s,Tc,7c
31: P0: Jh,4s | P1: Kh,5d | P2: Qc,Kc | P3: 6s,2s | P4: 2h,Ts | P5: 7s,5s | CC: 4h,4d,6d,9h,Ad
32: P0: Qc,3s | P1: 7h,Ac | P2: Ts,Qh | P3: 9d,3d | P4: 8d,Ad | P5: As,6c | CC: 7s,6s,Jh,7d,Ah
33: P0: 5h,8d | P1: 4h,6c | P2: 7h,Kc | P3: 4d,7s | P4: As,3c | P5: 5s,6h | CC: Td,4c,Qs,2d,5d
34: P0: 2s,7d | P1: 8d,Th | P2: 5d,9s | P3: Ts,4s | P4: 2h,Ac | P5: Qh,6d | CC: Jh,Tc,9h,4c,Ks
35: P0: 8d,5h | P1: Kh,9c | P2: 5s,8h | P3: Td,Ts | P4: Qd,4s | P5: 7h,Kd | CC: Qc,5d,4h,6s,2h
36: P0: As,Qd | P1: Ts,7d | P2: 9h,Qs | P3: Ah,2c | P4: Ks,8h | P5: Ac,8c | CC: Jh,Kc,3d,8d,5d
37: P0: Tc,Th | P1: Td,Qs | P2: 3s,7d | P3: 9h,Qc | P4: 6d,Ad | P5: 9c,4c | CC: Kd,5h,2d,Kh,8c
38: P0: 4d,7h | P1: Qc,Kc | P2: 6c,Jd | P3: 8h,2h | P4: Ks,8s | P5: 4h,2d | CC: 7d,Tc,3c,Jc,6s
39: P0: 6c,3s | P1: 9c,6d | P2: 2h,Th | P3: Kh,Qd | P4: 4d,7c | P5: Ah,8c | CC: 5d,5h,Kd,4h,6h
40: P0: 5c,5h | P1: Js,7s | P2: Jd,Ad | P3: 8h,6h | P4: 2h,5s | P5: 4d,Ks | CC: Kd,4c,Jc,6s,7c
41: P0: 7s,4c | P1: 6c,2d | P2: Ad,Qd | P3: 3s,Ac | P4: 2s,8s | P5: 7d,Tc | CC: 3d,7h,8d,Jd,8c
42: P0: 7h,Kd | P1: Ks,Qd | P2: Jh,Kc | P3: 8c,4c | P4: 3c,4d | P5: 9s,2s | CC: 6d,3s,8s,Js,5h
43: P0: 9c,3c | P1: 6h,2c | P2: Td,5h | P3: Jd,9h | P4: Jh,2h | P5: Kd,4s | CC: 7c,Qc,Jc,7h,4d
44: P0: 7s,4h | P1: Ks,Qd | P2: 5c,Ac | P3: Tc,2h | P4: 8d,Th | P5: 4d,3s | CC: 9s,9h,9d,9c,6d
45: P0: 6d,Td | P1: 4h,Th | P2: 9c,7c | P3: Tc,5s | P4: Qs,2h | P5: Ts,8d | CC: 5d,Kh,Qc,2c,5c
46: P0: Ad,8h | P1: 7h,6c | P2: 8d,7d | P3: Kc,4h | P4: 9d,4d | P5: 9c,4c | CC: 4s,Kd,8s,Ac,6s
47: P0: 2h,8d | P1: Td,8h | P2: Jc,3s | P3: 9h,Qs | P4: 6h,5s | P5: Ac,3d | CC: 3h,4h,Qd,Tc,Ts
48: P0: Ac,3h | P1: 4h,Kc | P2: 4d,Js | P3: 6s,Jh | P4: 6h,Tc | P5: 7d,6d | CC: Qc,2s,Td,2c,Qd
49: P0: Kd,9c | P1: 8s,3s | P2: Jh,4d | P3: 4c,8d | P4: Ad,2d | P5: Ah,Td | CC: 8c,6s,9s,4s,4h
50: P0: 5h,8d | P1: Kd,3s | P2: Qd,Qc | P3: 3d,7d | P4: Jc,Qh | P5: 4c,As | CC: Th,6c,Qs,6s,Jh
51: P0: 8c,Kc | P1: 7h,9s | P2: 9c,3h | P3: Jd,Jh | P4: Jc,Js | P5: Qs,8s | CC: 4s,Kh,4c,7s,Qd
52: P0: 3c,Jh | P1: Kd,7h | P2: 2c,Tc | P3: 4s,9d | P4: 4d,7s | P5: 3d,2s | CC: 9c,6h,3s,Qd,Kh
53: P0: Tc,2c | P1: Ad,6d | P2: As,Qs | P3: Ac,Ah | P4: 4s,2h | P5: 4c,9h | CC: Jh,5s,Qd,8h,Kc
54: P0: 8d,9c | P1: 4c,Ts | P2: Jc,Qh | P3: 6s,Ad | P4: Td,3d | P5: Qc,5s | CC: 7s,7h,6d,Ac,Tc
55: P0: 8c,4c | P1: Ad,4d | P2: 5c,7h | P3: Qh,7d | P4: Kh,4s | P5: 3h,3d | CC: Jh,4h,Kc,8s,6c
56: P0: Js,9s | P1: Qc,6s | P2: 2h,Kh | P3: 8h,6d | P4: Qh,4c | P5: 2c,Jd | CC: 7d,2s,7c,Th,4s
57: P0: 5s,Qc | P1: 8c,Js | P2: 8d,Qh | P3: 2c,Ac | P4: Ad,4s | P5: 5h,4d | CC: Jc,Ah,9s,5c,Kc
58: P0: 6d,Ts | P1: 7s,Js | P2: Ah,4d | P3: 3s,8h | P4: 4h,5s | P5: Ks,3h | CC: 5h,Tc,Jc,Kd,Qd
59: P0: 3c,4d | P1: Qc,Ad | P2: 6h,3h | P3: Td,7c | P4: Jd,8s | P5: 8c,4c | CC: 7h,7s,Tc,9d,8h
60: P0: 4h,8c | P1: As,Td | P2: 8s,8h | P3: 3h,Jd | P4: Ad,Jc | P5: 9s,6d | CC: Qh,9h,Qs,5c,Kh
61: P0: 3h,As | P1: Kh,6s | P2: 6d,6h | P3: 9s,5s | P4: Qd,8d | P5: Ah,4h | CC: 5d,8s,Tc,9h,3d
62: P0: Jd,4c | P1: As,Jh | P2: 3h,Tc | P3: 8s,Qh | P4: 5d,9d | P5: 2h,Js | CC: Qs,9h,5h,Kc,Ts
63: P0: 7c,Ah | P1: Jd,Jh | P2: 7d,Kc | P3: Ad,7s | P4: As,Qd | P5: Ac,6h | CC: Qc,2s,Qh,9d,2c
64: P0: Qh,Js | P1: Jh,5h | P2: Qd,3d | P3: Kh,As | P4: Jd,6c | P5: 8h,5c | CC: Th,5s,2d,6s,8c
65: P0: 8h,Td | P1: 4s,3d | P2: 6c,2s | P3: 8s,6d | P4: Qc,8c | P5: 9d,Ad | CC: 4d,4c,3s,Ac,Js
66: P0: Kh,3d | P1: 4d,Ts | P2: 2c,Th | P3: Ks,5c | P4: 9d,6d | P5: Jd,4s | CC: Ac,Qc,Ah,3c,3s
67: P0: Jh,Qc | P1: 3d,6c | P2: Ad,Ac | P3: 9s,Td | P4: Kh,Qd | P5: Jd,5c | CC: 8c,7s,Th,Kd,2c
68: P0: 4c,Qh | P1: 8c,Ks | P2: 5d,6d | P3: 8d,3c | P4: 6h,Kc | P5: 6c,9s | CC: Qc,Js,2c,4h,3d
69: P0: Js,4d | P1: 6c,2s | P2: Qh,Qc | P3: 7s,3c | P4: 4h,9d | P5: As,6d | CC: Ad,4s,Qd,7c,Kh
70: P0: Jc,Th | P1: 2s,6s | P2: 7c,Ts | P3: 9c,4h | P4: Jd,9h | P5: Kd,8d | CC: As,6d,2d,Js,7h
71: P0: Tc,7s | P1: Qh,Js | P2: 4h,2d | P3: 7d,Qs | P4: Jd,2c | P5: 3s,5s | CC: 8h,Qd,9s,2h,8s
72: P0: 2d,8c | P1: 3s,3h | P2: 4h,6h | P3: 3c,As | P4: Kh,8h | P5: 2h,5d | CC: Ac,Qd,9d,5c,Kc
73: P0: 2h,Qc | P1: 5d,Jd | P2: 6s,4h | P3: 5c,Ad | P4: Ah,Qd | P5: 2c,4c | CC: 3h,Tc,Ts,Jh,Td
74: P0: Js,3h | P1: 2c,Qh | P2: Kd,5h | P3: Ad,Ah | P4: 4d,Tc | P5: 9s,9h | CC: Kc,7d,7c,7h,7s
75: P0: 4d,6c | P1: Jc,9s | P2: Kc,2d | P3: Td,7d | P4: Qh,9h | P5: 9c,3s | CC: 2s,2h,5d,Kd,6s
76: P0: 5d,Ts | P1: 7c,Th | P2: 4c,4d | P3: 4s,2h | P4: Qs,3h | P5: Qc,4h | CC: Ac,2d,7h,Ah,7s
77: P0: Qd,Kh | P1: Kc,9s | P2: 7h,6c | P3: Ts,3c | P4: 3h,Ks | P5: Jh,4s | CC: 5d,As,8h,Jc,2s
78: P0: Js,7s | P1: 9s,Th | P2: 3c,7d | P3: Kh,3s | P4: Qd,Ks | P5: 6c,6d | CC: 9d,2d,Jh,6s,Qh
79: P0: 2h,Kc | P1: Th,Ts | P2: 3c,2d | P3: Td,2s | P4: 3h,6d | P5: Kd,9d | CC: 8d,Ah,Qd,Jh,Ac
80: P0: Ah,Ac | P1: Js,6d | P2: 9c,3s | P3: 4h,Tc | P4: 4s,2d | P5: 3h,Kc | CC: Td,8d,5d,Ks,6h
81: P0: Jh,7c | P1: Ac,4s | P2: 2s,7d | P3: 2h,4d | P4: 4c,9h | P5: Qs,2c | CC: Ad,7h,6s,Kc,6h
82: P0: 2c,9h | P1: Ad,3d | P2: 5h,Kd | P3: Kc,Ks | P4: 5s,Qd | P5: 5c,9c | CC: Qh,Ac,Kh,8s,Ts
83: P0: 4c,6c | P1: 9c,Ac | P2: Td,7h | P3: 9d,Jh | P4: Kh,7c | P5: Qh,3h | CC: 8s,9h,5h,4s,4h
84: P0: Kh,3d | P1: 3h,2d | P2: 5d,Ah | P3: 8c,Ad | P4: 4d,6c | P5: 8h,3s | CC: 2s,Qd,5s,2h,Ac
85: P0: 9c,6s | P1: Kc,Jd | P2: 2c,3d | P3: 8d,Js | P4: 4h,7d | P5: Tc,3h | CC: Jc,5s,As,Qc,9d
86: P0: Ah,2d | P1: 9c,Js | P2: 6h,3s | P3: 5d,5s | P4: 4c,Jh | P5: 2s,4d | CC: Kh,8h,8d,6s,3c
87: P0: 7c,Js | P1: Ts,Ad | P2: 3h,6s | P3: 9s,Qd | P4: 8c,Ks | P5: 7h,Jd | CC: 9h,3d,3s,2s,2d
88: P0: 7s,Qc | P1: 5d,Ah | P2: 4d,6h | P3: Ad,Td | P4: 7d,Ts | P5: Kc,5c | CC: 9s,6d,5h,Js,4h
89: P0: Jd,3d | P1: 4s,Ad | P2: Qs,Ts | P3: Th,3h | P4: 8h,8s | P5: 5d,7s | CC: 2h,4h,8d,5h,Kd
90: P0: 5d,Th | P1: 7d,3d | P2: 6s,Qh | P3: Ah,4c | P4: Ts,4s | P5: Ks,3c | CC: Kh,6h,5h,4h,Jd
91: P0: Kc,Jd | P1: 3d,7d | P2: 2s,Ah | P3: 5c,Ts | P4: 4d,3s | P5: Qc,5h | CC: Kd,2c,Ac,Qh,6s
92: P0: Tc,Ks | P1: 7c,5s | P2: 3d,8h | P3: 3s,Qd | P4: 9d,7h | P5: Jh,Ad | CC: Qh,6d,9c,2h,2c
93: P0: 2h,7c | P1: 8d,4h | P2: 7s,Qh | P3: 5c,5h | P4: 5d,6h | P5: Ac,6s | CC: Ts,2d,5s,4c,Jd
94: P0: 3c,Th | P1: Jc,8c | P2: Qd,Tc | P3: 9s,Ks | P4: 7h,6h | P5: 9d,Jh | CC: Qh,Js,8h,Ah,Qs
95: P0: Kh,As | P1: 8s,6h | P2: Kd,5h | P3: 3c,7s | P4: 5c,4h | P5: Qd,Qc | CC: 3s,2c,9h,Tc,3h
96: P0: Ts,3s | P1: Ah,8d | P2: 8h,Qc | P3: 3h,Kc | P4: Kh,As | P5: 2c,9d | CC: Qs,5s,8s,Td,Th
97: P0: As,Qc | P1: 7d,Jh | P2: 8c,Qd | P3: 6s,2c | P4: 3d,7h | P5: 9d,2d | CC: Js,Th,Jc,Qh,3s
98: P0: 8c,Kc | P1: Kh,2s | P2: 8s,Js | P3: 6c,Kd | P4: 8d,9c | P5: Jh,5c | CC: Ts,Jc,Qd,8h,2d
99: P0: 7c,Ac | P1: 8d,4h | P2: 9h,7d | P3: Js,Kc | P4: Qc,Jd | P5: 2d,Ad | CC: Qd,Ts,Tc,2s,2c
100: P0: As,2d | P1: Qs,Jd | P2: 7d,6h | P3: 7h,3c | P4: Qd,8d | P5: 7s,Js | CC: 6s,Ad,8s,4h,2c
