1: P1: Qh,2c | P2: 8c,3s | P3: 7s,2d | P4: Tc,7c | P5: 6d,3h | CC: Js,6h,6c,Kc,Th
21: P1: Jh,Kc | P2: Tc,Ad | P3: 8s,5s | P4: 9d,4s | P5: 2s,9s | CC: Js,2d,Qc,7c,8c
22: P1: Js,9h | P2: 4h,2d | P3: 3c,Qs | P4: Th,6h | P5: 7d,Td | CC: 8d,5d,6c,6s,Tc
23: P1: 8h,3h | P2: Th,2d | P3: 3d,5h | P4: 9d,5d | P5: 7d,Qc | CC: 4s,3s,5c,Td,Qs
24: P1: 5c,7c | P2: 3s,4s | P3: 9s,2h | P4: Jc,2d | P5: 9h,2s | CC: 8c,4d,Qc,8d,Ks
25: P1: 4d,8d | P2: 6s,9d | P3: Jc,9h | P4: 8s,2h | P5: As,5d | CC: Ac,2c,Qs,7c,3h
26: P1: 7d,7s | P2: 2h,9d | P3: 4d,4h | P4: Jc,Ad | P5: 6s,2c | CC: Td,3h,Qc,4s,Tc
27: P1: 6c,Qd | P2: 4s,7d | P3: Js,Tc | P4: 8h,4d | P5: Ac,3c | CC: 5h,9c,6d,3d,8c
28: P1: 3c,9h | P2: As,Qd | P3: Jh,Qs | P4: 8d,Ad | P5: 7c,Qh | CC: Qc,4s,Th,4c,Jc
29: P1: 5d,6h | P2: Kh,9c | P3: Ad,5s | P4: 4s,3c | P5: Jc,4d | CC: Ah,3h,3d,Qs,8d
30: P1: 6d,As | P2: 3d,6s | P3: Ks,Jd | P4: 5d,2s | P5: Ah,Kd | CC: Kh,8h,8s,7h,3h
31: P1: Tc,5d | P2: Jd,2c | P3: Kh,7c | P4: 5h,Qh | P5: Qs,4h | CC: 3s,Ks,3h,As,7s
32: P1: Tc,4h | P2: 2h,7c | P3: 6h,8c | P4: Kh,Js | P5: 8h,3c | CC: 5c,Ad,4s,2s,4c
33: P1: 8h,Qh | P2: 7h,8d | P3: 3s,3d | P4: 5h,Js | P5: 6d,Jh | CC: Ad,2s,7s,6h,Kd
34: P1: Qd,8h | P2: 9h,6s | P3: Ac,Qc | P4: 9d,Ah | P5: 4c,9s | CC: Th,Jh,5d,7d,Td
35: P1: 9h,5h | P2: 6h,9d | P3: Kd,Kh | P4: Ts,Kc | P5: 3h,2c | CC: Qh,6d,3d,5s,As
36: P1: 5h,9h | P2: 4d,8s | P3: 6c,Th | P4: Ts,6d | P5: 7d,Jc | CC: 8d,9s,8c,Qd,3s
37: P1: 4c,7s | P2: Ks,9d | P3: Ah,As | P4: 5s,2d | P5: Th,5d | CC: Kd,5h,8d,Ac,3s
38: P1: As,Qc | P2: Ac,8c | P3: 9h,Js | P4: 4d,Ah | P5: Td,6s | CC: Qh,5c,6h,2s,Ks
39: P1: Th,3s | P2: 4s,Ts | P3: 5s,6h | P4: 4d,Kd | P5: Kh,3d | CC: Qc,Jc,7d,As,Tc
40: P1: Jd,7s | P2: 9s,Kh | P3: Ac,6s | P4: 3s,3c | P5: Ad,4h | CC: 2h,4d,8h,7c,6c
41: P1: 4c,2h | P2: 9h,7h | P3: Ad,Qc | P4: Jd,Jh | P5: 7c,Qs | CC: 9d,Kd,Kh,2s,4s
42: P1: Ts,Tc | P2: 8c,3h | P3: 8s,2h | P4: 6d,7c | P5: 4s,Jd | CC: Kc,7s,Qs,Js,Ks
43: P1: Kh,8s | P2: 8c,4c | P3: 7h,7s | P4: Ah,9c | P5: 6c,Qc | CC: 3c,As,9s,3h,Ks
44: P1: Ad,8h | P2: 3d,3c | P3: 8c,9d | P4: Qc,Ah | P5: 5c,2s | CC: 3h,Kc,4d,2d,7d
45: P1: 6c,8h | P2: Kd,6h | P3: Ks,5s | P4: 4h,9d | P5: 3d,7h | CC: Kh,2h,7d,Ah,9s
46: P1: Jd,Jc | P2: 2c,Tc | P3: 5s,9s | P4: 6c,2d | P5: Kd,6s | CC: 7c,7h,3s,Qh,4c
47: P1: 6s,5h | P2: 6d,7s | P3: Th,8c | P4: Ts,Tc | P5: 2d,2c | CC: 4s,9c,Qh,As,9h
48: P1: Js,9d | P2: 7d,Td | P3: 2d,Qc | P4: 7h,5d | P5: Kh,8s | CC: 4s,5c,Kd,6c,Tc
49: P1: 8c,Jh | P2: Kh,Td | P3: Jc,6h | P4: Tc,9h | P5: 3h,4d | CC: 3s,4h,6s,As,3c
50: P1: Kc,4s | P2: 2d,Qc | P3: 4c,7d | P4: 2h,6d | P5: 5c,8h | CC: Td,Qd,Kd,3c,Ts
51: P1: Qh,9s | P2: 6c,7c | P3: 3d,Kh | P4: Qc,6d | P5: 3h,Js | CC: 5c,Ks,2h,Ah,9h
52: P1: 2h,Tc | P2: Qh,Qs | P3: As,Jh | P4: 8h,8s | P5: Js,Ad | CC: 6c,Kc,Kh,4h,5h
53: P1: 4h,3d | P2: 9h,2d | P3: 9d,5s | P4: Ts,Jc | P5: Kh,Ac | CC: 4d,Jh,6h,As,4s
54: P1: Ah,Kh | P2: 8h,2c | P3: 2s,3h | P4: Ac,8c | P5: 8d,7s | CC: 4s,9d,3c,Qd,Kd
55: P1: 8c,6d | P2: As,4s | P3: 9s,Qc | P4: 7s,5h | P5: Kc,Qs | CC: Ah,Js,6c,Ks,7d
56: P1: Jc,7d | P2: Kh,8c | P3: 9h,Qs | P4: Ah,2c | P5: Tc,9c | CC: 4h,3d,Ad,3c,2s
57: P1: Qd,4d | P2: 2c,5s | P3: Ts,2h | P4: 3c,8h | P5: Tc,7c | CC: Qc,Jd,Td,Jh,5c
58: P1: 9s,Ah | P2: 6d,6h | P3: 5s,9h | P4: Qs,7h | P5: 9c,5c | CC: 7s,7d,4d,As,Th
59: P1: 9s,5s | P2: Ks,3d | P3: 4s,6c | P4: 3s,8h | P5: 2h,Qc | CC: Ts,4d,Kh,8s,7c
60: P1: Ac,9c | P2: 7c,7s | P3: As,9s | P4: Tc,3c | P5: 3h,Jd | CC: Th,8c,Ah,6h,4h
61: P1: Qc,6h | P2: As,8d | P3: 2h,4d | P4: 9d,Jh | P5: 8c,8h | CC: 2s,Qs,Kc,Ac,Kd
62: P1: 4d,Kh | P2: Ts,Jc | P3: 5d,Qd | P4: 4c,3s | P5: Ac,9c | CC: 9h,6s,Ad,7d,9d
63: P1: 8h,Ad | P2: 3s,2s | P3: 3c,As | P4: Ts,4c | P5: Jd,7d | CC: 6s,Qs,8s,Kh,8c
64: P1: Ks,9s | P2: 8s,9c | P3: 3c,7s | P4: 2c,4c | P5: Tc,7h | CC: 3s,8c,Ac,Kc,2s
65: P1: 3s,9s | P2: 2d,Ah | P3: Qd,7s | P4: Th,9d | P5: As,Jd | CC: Kh,Qs,Js,6c,2h
66: P1: Kh,Qh | P2: 8s,4s | P3: 4c,8d | P4: Ts,As | P5: Kc,5d | CC: 9c,7c,9d,Td,9s
67: P1: 6d,4d | P2: Ah,5d | P3: 2c,Kh | P4: 4h,7d | P5: Td,2h | CC: Ts,Ad,6c,6h,7c
68: P1: 2c,6d | P2: Ah,Th | P3: 3h,5s | P4: Kc,4h | P5: 6s,Ks | CC: 6h,9c,3s,8c,4c
69: P1: Ad,Tc | P2: 8c,Qc | P3: 3s,7d | P4: 8s,4d | P5: Ks,2h | CC: 5h,Qh,Js,Jd,Ah
70: P1: 6d,8h | P2: 8c,2s | P3: 9h,3d | P4: 8d,Td | P5: Ts,3c | CC: 8s,Kh,4d,Kc,Th
71: P1: 8s,2c | P2: 7d,As | P3: Qh,2s | P4: 5c,Ts | P5: 2d,8d | CC: Kh,Ah,3c,9c,Jd
72: P1: 7d,Th | P2: 4d,9c | P3: 2d,5h | P4: Ks,3d | P5: 2c,5s | CC: 4h,Tc,Jc,Kc,Js
73: P1: Jh,Tc | P2: Kc,5h | P3: 9h,2d | P4: 4d,6s | P5: 4c,6d | CC: Ad,3h,5c,3d,6c
74: P1: 2h,2s | P2: 6c,2c | P3: Ts,5h | P4: Ac,6s | P5: Jc,Th | CC: Js,4d,9c,7s,Kd
75: P1: Tc,2c | P2: 4d,Jh | P3: 7c,9d | P4: Ks,Js | P5: 8h,8c | CC: Ah,9s,8s,4c,Ac
76: P1: Ad,2s | P2: 5c,5h | P3: 5s,6h | P4: Js,2h | P5: 7s,Qd | CC: Jd,7d,6c,Ac,5d
77: P1: Kd,6c | P2: 5d,9h | P3: Kc,Ad | P4: As,Qs | P5: Ac,2h | CC: 2d,5s,Ks,Qd,6d
78: P1: Kd,6d | P2: 7c,7d | P3: Ks,5s | P4: 3h,Th | P5: 5h,Tc | CC: Jd,Jc,5d,Qh,Kh
79: P1: 3d,6c | P2: 2s,Ah | P3: 4c,Ad | P4: 4s,Kc | P5: 8c,As | CC: Jc,Jh,Th,Js,7c
80: P1: 7d,6c | P2: As,5h | P3: 8d,Ah | P4: 8c,2c | P5: 8h,5d | CC: Kd,9s,Qh,6s,Js
81: P1: Ah,Jh | P2: 7d,2s | P3: Kd,4h | P4: 4c,4s | P5: Qc,5d | CC: Qs,8d,6c,2h,Td
82: P1: 5d,Js | P2: Th,3c | P3: 2c,7h | P4: 9s,4d | P5: 9c,Kh | CC: 6d,4c,Ac,4s,Ts
83: P1: 3c,4d | P2: Js,Kd | P3: Qc,Tc | P4: 6c,9d | P5: 2d,5c | CC: 8s,7h,Qs,5d,8c
84: P1: As,8d | P2: 8c,Th | P3: 3d,2s | P4: 2c,Jh | P5: Jd,Qd | CC: Kh,5c,4s,Js,5d
85: P1: Kh,As | P2: 7c,Ks | P3: 3h,2d | P4: 9h,Qh | P5: 7d,5d | CC: Tc,8d,8s,4h,Js
86: P1: Js,3c | P2: Jc,3h | P3: 3s,7d | P4: 9s,3d | P5: Qd,Qs | CC: Qc,9h,Ts,8c,2h
87: P1: 6c,6s | P2: 9c,4d | P3: 5d,Td | P4: Js,3h | P5: Jh,6d | CC: 9h,Ks,2s,Kd,2d
88: P1: 9d,9s | P2: 8s,6d | P3: 8c,7c | P4: 6c,Tc | P5: 3d,4c | CC: 7s,Ac,3h,5c,6h
89: P1: Jd,5h | P2: 8d,5d | P3: 9c,7d | P4: Kc,3s | P5: Jh,9d | CC: 2c,Ac,6s,Qs,5s
90: P1: 2c,9h | P2: Ac,Jc | P3: 4s,Ah | P4: 2s,3d | P5: 9s,Kd | CC: Ad,8s,8d,6h,Js
91: P1: 6s,9d | P2: Qs,Kh | P3: Th,8h | P4: 9c,Ah | P5: 3h,Ac | CC: 8s,7c,2d,5h,Kd
92: P1: Th,7d | P2: Qd,Ad | P3: 7h,3h | P4: 8c,6d | P5: Kd,5d | CC: Jc,9c,9h,Qc,As
93: P1: 5s,9h | P2: Tc,9s | P3: Jc,2c | P4: 9c,6h | P5: Td,7c | CC: 4h,9d,Kd,Qh,Qc
94: P1: 9s,Ad | P2: 5s,Th | P3: 4c,Td | P4: 8d,6s | P5: Tc,Ah | CC: 8s,Kd,5d,2s,Qc
95: P1: 6d,3h | P2: Js,Ks | P3: As,4d | P4: Ad,Th | P5: Qc,4s | CC: 6h,5c,Jc,7h,Qs
96: P1: Tc,3s | P2: 4h,9s | P3: Qd,8s | P4: Qh,7d | P5: Jh,Kh | CC: Ac,Jd,6h,8d,Th
97: P1: 5s,Td | P2: 5h,6d | P3: 3c,8h | P4: Th,Jd | P5: 4c,7h | CC: 8c,3h,Qd,5c,3d
98: P1: Jd,5h | P2: Td,Jh | P3: 5s,4s | P4: 9c,Kc | P5: 2d,8h | CC: 6s,7d,4d,9s,Ks
99: P1: 3s,Ac | P2: 4s,Ts | P3: Tc,Kh | P4: Ad,Ks | P5: Th,3c | CC: Jd,9c,Qd,6s,9h
100: P1: 6d,4h | P2: Qh,2c | P3: 9s,7c | P4: Ac,6h | P5: Tc,3s | CC: 9d,Js,5h,6s,7s
