1: P1: 2s,8s | P2: Ts,As | P3: 5c,6s | P4: 2h,6h | P5: Kc,9s | P6: Ah,Jc | CC: 5s,Tc,7h,Qc,2d
22: P1: 2h,Kd | P2: 7d,3c | P3: 3h,2s | P4: 5s,Qs | P5: Jc,Qh | P6: 9h,Kc | CC: 2c,2d,Jh,Jd,9c
23: P1: 2d,Ac | P2: Ad,6h | P3: Qd,Kh | P4: 9h,2c | P5: 5c,4h | P6: Tc,8c | CC: Td,As,Jh,5s,3d
24: P1: 3d,6c | P2: Th,Td | P3: 4d,9c | P4: 9s,5s | P5: 8h,Jd | P6: 2h,Qs | CC: Qc,6h,Ks,2d,Qd
25: P1: 4s,4d | P2: As,9d | P3: Tc,6d | P4: 2d,3d | P5: 5s,4h | P6: Th,7d | CC: Jc,Qh,5h,4c,Ts
26: P1: 2s,Qd | P2: 3c,8s | P3: Qh,Kc | P4: 5c,2c | P5: 4d,5s | P6: Jh,Ac | CC: Qs,Td,5d,5h,Ah
27: P1: 8s,4h | P2: 4c,9c | P3: Td,Qd | P4: 6h,9h | P5: Jh,2d | P6: 2s,As | CC: Th,7h,9d,8c,3h
28: P1: 8s,Js | P2: 9c,Ac | P3: Qs,Kc | P4: 2d,5d | P5: 7d,Kh | P6: 7s,6d | CC: 4d,4c,4h,8c,6c
29: P1: 7d,Kh | P2: 2c,Ac | P3: Th,8c | P4: 4s,Jh | P5: 9d,Qd | P6: Ah,5h | CC: Tc,Js,6s,8s,Jd
30: P1: 7c,2c | P2: 5c,6d | P3: Th,3s | P4: 8h,5d | P5: 6s,Qd | P6: 5s,Ah | CC: Kh,3d,Td,7d,Qh
31: P1: 7c,Jh | P2: Jd,Th | P3: 9s,9c | P4: Ts,Ad | P5: 4d,4c | P6: 6s,Qh | CC: 2d,Ac,5s,Qc,Td
32: P1: Ts,7h | P2: Td,5c | P3: 2s,Ad | P4: 6s,Tc | P5: Qs,4c | P6: 7s,Ah | CC: 6h,Kh,6d,5s,4h
33: P1: 6d,Qd | P2: 5d,6h | P3: Ah,5c | P4: 8d,Kc | P5: Ts,7s | P6: Th,Ad | CC: Qh,2s,8s,Kd,5h
34: P1: Ks,8d | P2: Qh,5d | P3: 3h,Qd | P4: Ac,9h | P5: Ad,Kc | P6: 2c,2h | CC: 9d,Th,3s,9c,Tc
35: P1: Ac,Kd | P2: 8h,7c | P3: 6c,5s | P4: Qc,2c | P5: 6d,8d | P6: Jh,4c | CC: Js,8s,Jc,9c,Qs
36: P1: 5d,8c | P2: Qd,Kh | P3: Js,Kd | P4: Jh,2d | P5: Td,6h | P6: 9s,5s | CC: 3d,8d,2c,7s,Ah
37: P1: 9h,9s | P2: Th,6c | P3: Jd,Qs | P4: 4s,Qc | P5: 7h,Jc | P6: 3d,5h | CC: 7s,8d,6s,Kh,5s
38: P1: Kd,5c | P2: 2d,Qh | P3: 2c,8h | P4: Jc,Jd | P5: 3c,Qc | P6: 7c,Ac | CC: As,3s,Kc,9c,4h
39: P1: 3d,4s | P2: 8h,6d | P3: 3c,Ks | P4: Qc,Ah | P5: 7d,2s | P6: 9d,Js | CC: 8c,Td,9s,4h,2d
40: P1: 3h,Td | P2: 2c,4s | P3: Tc,7h | P4: 9c,7c | P5: Qs,3d | P6: 5s,Kd | CC: 9h,2d,Ac,3c,Jd
41: P1: 5c,4c | P2: 4s,4h | P3: 9d,5d | P4: Jd,Ts | P5: 8c,Jc | P6: 7h,9s | CC: 9c,Ks,2d,2h,Qd
42: P1: Jd,Js | P2: 9d,5h | P3: Ac,9h | P4: 4h,4c | P5: 4s,Ts | P6: Qs,Ad | CC: 2c,9c,9s,Qh,Kh
43: P1: As,Ah | P2: 9s,8s | P3: 9c,8d | P4: 7h,4s | P5: Tc,6d | P6: 3h,7c | CC: Js,8c,5d,Qs,Qh
44: P1: 6h,2d | P2: 2c,2h | P3: 9c,8d | P4: 4s,8h | P5: 6c,8s | P6: Qh,7h | CC: Js,9h,Ts,Tc,Jh
45: P1: Td,7s | P2: Ad,2d | P3: Qh,Qc | P4: Tc,8c | P5: 5h,3c | P6: Kh,9c | CC: 4d,8h,Jd,Ts,9h
46: P1: 4s,6d | P2: 4d,8h | P3: Tc,7d | P4: 4h,Td | P5: 6s,Ah | P6: Js,7s | CC: Ks,9h,5d,3d,8s
47: P1: 7d,As | P2: Td,9d | P3: 8s,6h | P4: 9h,Jc | P5: 5c,4s | P6: 2h,Kd | CC: 5h,8c,6s,3c,2s
48: P1: Js,8c | P2: Jd,Tc | P3: 7h,Ah | P4: 5h,4h | P5: Jc,7c | P6: 2s,Td | CC: Jh,5d,5s,9h,9s
49: P1: Qh,3s | P2: 8d,3d | P3: Qs,Js | P4: Qc,2d | P5: Tc,Ad | P6: 4h,Ts | CC: 4d,6c,Ac,3c,9h
50: P1: 7s,5c | P2: 6s,Qh | P3: 3c,3d | P4: 5d,Jd | P5: Qs,Qc | P6: 4h,Ts | CC: 8s,9h,Td,6c,4c
51: P1: Ac,9h | P2: Qh,3s | P3: 6h,6c | P4: Js,Ts | P5: 4c,Tc | P6: 9c,7s | CC: 2h,Td,5d,8c,7c
52: P1: Qs,Ts | P2: Qh,As | P3: 9s,Jc | P4: 6s,2s | P5: 3c,5h | P6: 7s,7d | CC: 3s,Td,4d,4c,Jh
53: P1: 2s,3c | P2: Qs,3s | P3: 8c,9d | P4: Ah,Ad | P5: 8h,Jd | P6: Kc,Ks | CC: 7h,6h,7d,5c,3h
54: P1: Jd,7c | P2: Tc,3d | P3: 8c,6h | P4: 5h,Js | P5: Th,5c | P6: 7s,9c | CC: Qs,6d,4d,Kh,6c
55: P1: 8h,8c | P2: Jc,5s | P3: 6c,Tc | P4: As,9h | P5: Kh,Ah | P6: Jh,Ad | CC: 5d,2d,Js,2h,3d
56: P1: 7c,6d | P2: 9d,8c | P3: 7s,7d | P4: 7h,Ah | P5: 5c,8h | P6: 5h,4s | CC: 9s,2c,2s,5s,9c
57: P1: Ad,Ts | P2: Td,3d | P3: 9c,9h | P4: Qd,2c | P5: 5c,8h | P6: 2d,8c | CC: Qs,3s,Jc,6h,9d
58: P1: Td,2c | P2: 7s,5s | P3: 4c,8d | P4: 7h,Jh | P5: 3c,5c | P6: 9c,7d | CC: 4d,Ks,Ac,Th,4s
59: P1: Qs,2c | P2: Ts,3s | P3: 8s,Ac | P4: 7d,9c | P5: Jd,Jc | P6: 9s,3h | CC: 7c,9h,6s,8d,Kd
60: P1: 8s,Ad | P2: 6d,As | P3: Kd,2s | P4: 9d,5d | P5: Jh,Th | P6: 9c,Kc | CC: Tc,3s,2c,3c,6s
61: P1: 5h,Ac | P2: 4c,4h | P3: 6d,Kc | P4: As,6h | P5: 9s,5c | P6: Js,3c | CC: 5d,4s,9d,9h,2d
62: P1: Ad,2c | P2: 4s,Qd | P3: 8d,Qc | P4: Ah,4h | P5: Js,As | P6: Ac,Ks | CC: 7c,6d,2d,8c,4c
63: P1: 5s,Ts | P2: 9c,7d | P3: 7h,Kh | P4: 4d,6d | P5: 2c,Qc | P6: 8h,Td | CC: Jd,Ks,8s,6s,Jh
64: P1: Ks,6d | P2: 3h,4c | P3: 2h,5d | P4: 8d,3s | P5: Tc,Ts | P6: Qd,9s | CC: 7c,2c,5s,Ah,5c
65: P1: 5c,6c | P2: 3h,2c | P3: Kh,5s | P4: Jd,8c | P5: 6d,9d | P6: Ks,7h | CC: Js,Ac,4c,7s,9c
66: P1: 5s,Ac | P2: Jh,Kd | P3: 2d,6d | P4: 3d,Qc | P5: Jd,2c | P6: Qs,4s | CC: 8c,Kc,5h,Js,Tc
67: P1: Jc,Ac | P2: 3d,6c | P3: Ad,Ks | P4: 4h,Jd | P5: Qs,As | P6: 3h,4c | CC: Kd,8s,6h,7c,Th
68: P1: 8c,Tc | P2: 2d,4s | P3: Jd,5c | P4: Jh,Kd | P5: 8d,3c | P6: As,3s | CC: 7d,7c,2c,4h,9h
69: P1: 5s,4h | P2: Kh,Ks | P3: 2c,5c | P4: Qh,7s | P5: 3d,3c | P6: 5d,Qs | CC: 9c,Jc,8h,Th,Ts
70: P1: Jh,Kh | P2: 9d,Qs | P3: 7s,Qd | P4: Tc,9c | P5: 3c,2h | P6: 4c,Ac | CC: 8h,6h,3h,Td,Ks
71: P1: 2s,6h | P2: 4s,Tc | P3: 2d,8h | P4: 7s,5c | P5: 2c,2h | P6: 4c,Ad | CC: Ah,8s,7d,9h,6d
72: P1: As,8c | P2: 5h,7c | P3: 4h,Qc | P4: 9s,3s | P5: 4c,7d | P6: 2s,9c | CC: 2c,9h,8d,3c,3d
73: P1: 2c,8d | P2: 4c,3s | P3: 9s,Ks | P4: 4s,5c | P5: Kd,5s | P6: Tc,8s | CC: 8h,Td,6c,Ad,7c
74: P1: 4d,Kd | P2: Th,9h | P3: Kc,3d | P4: 2h,Kh | P5: 9s,3c | P6: Jc,8d | CC: 9c,9d,Tc,Qc,As
75: P1: Jh,9d | P2: 2c,2s | P3: 8h,Th | P4: Tc,2h | P5: 4d,8c | P6: 8d,Kd | CC: Ad,4s,4c,9s,6s
76: P1: Th,7c | P2: 2s,2h | P3: 2c,5c | P4: 6d,As | P5: Td,8h | P6: 7s,Kh | CC: 9h,5h,6h,Ac,5d
77: P1: As,Kh | P2: 5s,2d | P3: Qs,2h | P4: 7d,9s | P5: 6c,Jh | P6: 8c,Qc | CC: 2s,6h,6s,4d,2c
78: P1: 8d,Td | P2: Ts,Jd | P3: 8h,6h | P4: 3s,2d | P5: 3d,Js | P6: Kd,5s | CC: Kh,4h,9s,Jh,8c
79: P1: Th,7h | P2: 6h,5d | P3: 3c,Qc | P4: 2d,Qh | P5: 4s,4d | P6: Tc,6d | CC: Jd,2s,Ks,Jh,4c
80: P1: Ah,As | P2: Kc,3c | P3: 2c,4h | P4: Td,8d | P5: 6d,Js | P6: 6c,5s | CC: Ac,Qd,Ts,8h,9c
81: P1: 2h,3h | P2: Qc,8c | P3: Kc,Kd | P4: Qh,9h | P5: 3c,5c | P6: Qs,Kh | CC: 5h,Ts,2c,Ac,7h
82: P1: 8s,Th | P2: 6d,Qh | P3: Ks,Kd | P4: Qs,4s | P5: As,Ad | P6: 7c,3s | CC: 6c,7s,6s,5d,Ac
83: P1: Tc,9s | P2: 3c,8h | P3: Kd,Ks | P4: 7c,5s | P5: 5d,2h | P6: Ad,9d | CC: Jh,Ac,Jd,Js,Kc
84: P1: 2d,Ts | P2: 8h,Js | P3: 6s,Tc | P4: 9s,Jd | P5: Td,9h | P6: 5h,6h | CC: Ah,Ad,3s,7c,5s
85: P1: 4d,3s | P2: Kd,4h | P3: 5s,Qs | P4: Ac,Jc | P5: 7h,8d | P6: Th,9s | CC: 2d,5h,6d,Qc,9d
86: P1: 9s,5c | P2: Ts,2h | P3: As,5d | P4: Jd,Qc | P5: Td,8c | P6: 2s,6c | CC: Ac,Th,6s,6h,6d
87: P1: Ad,Jc | P2: Qs,8d | P3: 4h,6c | P4: Qd,Jh | P5: 9h,Th | P6: 7d,Kc | CC: 5h,7s,9d,5d,2s
88: P1: 8c,Ts | P2: 6h,9s | P3: 4h,3h | P4: 2s,5s | P5: 3s,9d | P6: 3d,7d | CC: Qd,4d,7h,3c,4c
89: P1: 5c,6d | P2: Jd,6s | P3: 3h,2s | P4: Kd,Th | P5: 8s,Kh | P6: Jh,6h | CC: 8c,Qc,Ah,8d,3s
90: P1: Ah,9c | P2: Qs,Tc | P3: 2d,Kc | P4: 6c,Ts | P5: Kh,Ks | P6: 4c,7c | CC: 3c,Jc,9h,2s,3s
91: P1: 5h,9d | P2: Td,7c | P3: 6s,Qs | P4: 6h,4s | P5: Qh,Jc | P6: 7d,2c | CC: 4d,Qd,6d,9h,5c
92: P1: 6d,6h | P2: Ts,Ah | P3: Ks,8d | P4: 2s,7s | P5: Ac,6c | P6: Jc,Td | CC: Jd,5d,9h,7c,Kd
93: P1: 6h,Td | P2: 5s,Tc | P3: 4c,Ad | P4: 2h,Th | P5: Ac,8s | P6: 5h,2d | CC: Kh,2c,9d,4d,6d
94: P1: Jc,7h | P2: Ts,Ks | P3: Qc,6s | P4: Kh,9c | P5: 5s,4h | P6: 5h,6c | CC: 4d,6h,3d,9h,3s
95: P1: 3d,3h | P2: Kh,Qh | P3: 2d,5c | P4: Qs,Js | P5: 7h,6h | P6: Kc,Qd | CC: 4d,Jh,9h,7s,Jc
96: P1: 2d,Ac | P2: Js,Qc | P3: 3c,5c | P4: Jc,9d | P5: As,8s | P6: 6s,Qs | CC: Jd,8c,5d,Kc,9c
97: P1: Qs,5d | P2: 3h,Ts | P3: 2d,Tc | P4: 5c,3s | P5: 7d,4h | P6: 2s,8s | CC: 7h,6c,Kd,3c,8c
98: P1: 8c,Ks | P2: 3s,2d | P3: As,Tc | P4: Qh,5d | P5: 5h,Qd | P6: 9s,Kh | CC: 8h,Jd,7d,7c,5c
99: P1: Js,9c | P2: 3h,3d | P3: Jh,Ks | P4: Kh,Kd | P5: 3s,2c | P6: Kc,4h | CC: 5c,7s,Qh,2d,6h
100: P1: 2h,7s | P2: Th,Ah | P3: Jc,9h | P4: 3s,Ad | P5: Jd,7c | P6: 2d,3d | CC: Js,Kh,4s,7d,Kc
